Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00     6379     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      0.10     0.00     6379     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.10     0.00     6379     0.00     0.00  char* std::addressof<char>(char&)
  0.00      0.10     0.00     6376     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.10     0.00     6376     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      0.10     0.00     6371     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      0.10     0.00     6370     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      0.10     0.00     6369     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.10     0.00     6369     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.10     0.00     6369     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      0.10     0.00     6369     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.10     0.00     6369     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.10     0.00     6369     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.10     0.00     6368     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      0.10     0.00     6368     0.00     0.00  std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      0.10     0.00     6367     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_compare(unsigned long, unsigned long)
  0.00      0.10     0.00     6367     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      0.10     0.00     6366     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      0.10     0.00     6366     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.10     0.00     6364     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.10     0.00     6364     0.00     0.00  __gnu_cxx::new_allocator<char>::_M_max_size() const
  0.00      0.10     0.00     6364     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.00      0.10     0.00     6364     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00      0.10     0.00     6361     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
  0.00      0.10     0.00     5352     0.00     0.00  void std::allocator_traits<std::allocator<vec<3> > >::construct<vec<3>, vec<3> >(std::allocator<vec<3> >&, vec<3>*, vec<3>&&)
  0.00      0.10     0.00     5352     0.00     0.00  decltype (::new ((void*)(0)) vec<3>((declval<vec<3> >)())) std::construct_at<vec<3>, vec<3> >(vec<3>*, vec<3>&&)
  0.00      0.10     0.00     5352     0.00     0.00  std::remove_reference<vec<3>&>::type&& std::move<vec<3>&>(vec<3>&)
  0.00      0.10     0.00     5044     0.00     0.00  vec<3> const& std::forward<vec<3> const&>(std::remove_reference<vec<3> const&>::type&)
  0.00      0.10     0.00     5036     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > >::base() const
  0.00      0.10     0.00     4094     0.00     0.00  void std::allocator_traits<std::allocator<vec<3> > >::destroy<vec<3> >(std::allocator<vec<3> >&, vec<3>*)
  0.00      0.10     0.00     4094     0.00     0.00  void std::destroy_at<vec<3> >(vec<3>*)
  0.00      0.10     0.00     4094     0.00     0.00  void std::__relocate_object_a<vec<3>, vec<3>, std::allocator<vec<3> > >(vec<3>*, vec<3>*, std::allocator<vec<3> >&)
  0.00      0.10     0.00     3386     0.00     0.00  void std::allocator_traits<std::allocator<vec<2> > >::construct<vec<2>, vec<2> >(std::allocator<vec<2> >&, vec<2>*, vec<2>&&)
  0.00      0.10     0.00     3386     0.00     0.00  decltype (::new ((void*)(0)) vec<2>((declval<vec<2> >)())) std::construct_at<vec<2>, vec<2> >(vec<2>*, vec<2>&&)
  0.00      0.10     0.00     3386     0.00     0.00  std::remove_reference<vec<2>&>::type&& std::move<vec<2>&>(vec<2>&)
  0.00      0.10     0.00     2702     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2>*, std::vector<vec<2>, std::allocator<vec<2> > > >::__normal_iterator(vec<2>* const&)
  0.00      0.10     0.00     2680     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > >::base() const
  0.00      0.10     0.00     2678     0.00     0.00  vec<2>::operator[](int)
  0.00      0.10     0.00     2665     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.10     0.00     2564     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >::__normal_iterator(vec<3>* const&)
  0.00      0.10     0.00     2518     0.00     0.00  bool __gnu_cxx::operator==<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > >(__gnu_cxx::__normal_iterator<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > > const&, __gnu_cxx::__normal_iterator<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > > const&)
  0.00      0.10     0.00     2516     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > >::operator++()
  0.00      0.10     0.00     2516     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3> const*, std::vector<vec<3>, std::allocator<vec<3> > > >::operator*() const
  0.00      0.10     0.00     2516     0.00     0.00  void std::_Construct<vec<3>, vec<3> const&>(vec<3>*, vec<3> const&)
  0.00      0.10     0.00     2494     0.00     0.00  Model::nfaces() const
  0.00      0.10     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<vec<2> > >::destroy<vec<2> >(std::allocator<vec<2> >&, vec<2>*)
  0.00      0.10     0.00     2047     0.00     0.00  void std::destroy_at<vec<2> >(vec<2>*)
  0.00      0.10     0.00     2047     0.00     0.00  void std::__relocate_object_a<vec<2>, vec<2>, std::allocator<vec<2> > >(vec<2>*, vec<2>*, std::allocator<vec<2> >&)
  0.00      0.10     0.00     1351     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::end()
